e52,e23,x38,xv38,vinqi
MISSPEND,misspend,misspend,,गँवाना
MISSPENT,misspent,misspent,,गलत खर्च किया हुआ
MISSUS,missus,missus,,पत्नी
MISSY,missy,missy,,नवयुवती
MIST,mist,mist,,कुहासा
MISTAKE,mistake,mistake,,गलत अर्थ लग्ना
MISTAKEN,mistaken,mistaken,,गलत
MISTAKENLY,mistakenly,mistakenly,,भूल से
MISTER,mister,mistxr,,श्री
MISTILY,mistily,mistily,,अस्पष्ट रूप से
MISTIME,mistime,mistime,,समय का गलत हिसाब लगाना
MISTIMED,mistimed,mistimed,,गलत समय पर करना
MISTIMING,mistiming,mistiming,,समय का गलत निर्धारण
MISTINESS,mistiness,mistiness,,धुँधलापन
MISTLETOE,mistletoe,mistletoe,,अमर बेल
MISTREAT,mistreat,mistreat,,गलत व्यवहार करना
MISTREATED,mistreated,mistreated,,दुर्व्यवहारित
MISTREATMENT,mistreatment,mistreatment,,गलत इलाज
MISTRESS,mistress,mistress,,उपपत्नी
MISTRIAL,mistrial,mistrial,,गलत मुकदमा
MISTRUST,mistrust,mistrust,,अविश्वास करना
MISTRUSTFUL,mistrustful,mistrustful,,अविश्वासी
MISTRUSTFULLY,mistrustfully,mistrustfully,,अविश्वास के साथ
MISTY,misty,misty,,कोहरे से आच्छादित
MISUNDERSTAND,misunderstand,misundxrstand,,गलत समझना
MISUNDERSTANDING,misunderstanding,misundxrstanding,,गलतफहमी
MISUNDERSTOOD,misunderstood,misundxrstood,,गलत समजा गया
MISUSE,misuse,misuse,,गलत प्रयोग
MITE,mite,mite,,कुटकी
MITER,miter,mitxr,,पादरी की टोपी
MITHRIDATE,mithridate,mithridate,,जहरमोहरा
MITIGATE,mitigate,mitigate,,कम करना
MITIGATING,mitigating,mitigating,,गंभीरता कम करने वाला
MITIGATION,mitigation,mitigation,,कमी
MITIGATIVE,mitigatiwe,mitigatiwe,,प्रशामक
MITIGATORY,mitigatory,mitigatory,,प्रशामक
MITRE,mitre,mitre,,कलमी जोड़ बनाना
MITT,mitt,mitt,,मुक्केबाज़ी के दस्ताने
MITTEN,mitten,mitten,,जाली के दस्ताने
MITZVAH,mitzwah,mitzwah,,बा मिट्स्व
MIX,mix,mix,,कचूमर
MIXED,mixed,mixed,,मिला जुला
MIXER,mixer,mixxr,,मिक्सर
MIXTURE,mixture,mixture,,घोल
ML,ml,ml,,मिली लीटर
MM,mm,mm,,मिलीमीटर
MN,mn,mn,,मैंगनीज़
MNEMONIC,mnemonic,mnemonik,,याददाश्त बढाने वाला शास्त्र
MNEMONICS,mnemonics,mnemoniks,,स्मृति विज्ञान
MNEMONIST,mnemonist,mnemonist,,स्मृति विज्ञान में कुशल
MO,mo,mo,,चिकित्सा अधिकारी
MOAN,moan,moan,,कराहना
MOANER,moaner,moanxr,,रिरियाने वला
MOAT,moat,moat,,खंदक
MOATED,moated,moated,,खंदक द्वारा सुरक्षित
MOB,mob,mob,,गिरोह
MOBILE,mobile,mobile,,अस्थिर
MOBILISATION,mobilisation,mobilisation,,लामबंदी
MOBILISE,mobilise,mobilise,,इस्तेमाल करना
MOBILITY,mobility,mobility,,गतिशिलता
MOBILIZATION,mobilization,mobilization,,लामबंदी
MOBILIZE,mobilize,mobilize,,इस्तेमाल करना
MOBOCRAT,mobocrat,mobokrat,,भीड़ तंत्र समर्थक
MOBOCRATIC,mobocratic,mobokratik,,भीड़तंत्र संबंधी
MOBSTER,mobster,mobstxr,,गुंडा
MOCCASIN,moccasin,mokkasin,,जूती
MOCHA,mocha,moca,,एक प्रकार का हीरा
MOCK,mock,mok,,चिढ़ाना
MOCKER,mocker,mokxr,,उपहासक
MOCKERY,mockery,mokxry,,उपहास
MOCKING,mocking,moking,,उपहासपूर्ण
MOCKINGLY,mockingly,mokingly,,उपहासपूर्ण ढंग से
MOCKTAIL,mocktail,moktail,,कॉकटेल सद्रश बिना अल्कोहल की ड्रिंक
MOD,mod,mod,,अत्याधुनिक किशोर
MODAL,modal,modal,,क्रियाभाव द्योतक
MODALITIES,modalities,modalities,,रूपरेखा
MODE,mode,mode,,अंदाज
MODEL,model,model,,अनुकरणीय व्यक्ति
MODELING,modeling,modeling,,मडलिंग
MODELLING,modelling,modelling,,प्रतिमान
MODEM,modem,modem,,मोडम
MODERATE,moderate,modxrate,,औसत दर्जे का
MODERATELY,moderately,modxrately,,कामचलाऊ ढंग से
MODERATENESS,moderateness,modxrateness,,औचित्य
MODERATION,moderation,modxration,,परीक्षा का स्तर नियंत्रण
MODERATOR,moderator,modxrator,,धर्माधिकारी
MODERN,modern,modxrn,,आजकल के लोग
MODERNISATION,modernisation,modxrnisation,,आधुनिकरण
MODERNISE,modernise,modxrnise,,आधुनिक बनाना
MODERNISM,modernism,modxrnism,,आधुनिक शैली
MODERNIST,modernist,modxrnist,,आधुनिकतावादी
MODERNISTIC,modernistic,modxrnistik,,आधुनिकतावादी
MODERNITY,modernity,modxrnity,,आधुनिकता
MODERNIZATION,modernization,modxrnization,,आधुनिकीकरण
MODERNIZE,modernize,modxrnize,,आधुनिक बनाना
MODEST,modest,modest,,कम
MODESTLY,modestly,modestly,,संकोच से
MODESTY,modesty,modesty,,लज्जा
MODICUM,modicum,modikum,,टुकड़ा
MODIFICATION,modification,modifikation,,उपांतरण
MODIFIER,modifier,modifixr,,विशेषक
MODIFY,modify,modify,,बदलाव लाया जाना
MODISH,modish,modish,,आधुनिक रीति के अनुसार
MODISHLY,modishly,modishly,,चुस्त दुरुस्त ढंग से
MODISTE,modiste,modiste,,टोपी बनाने 
MODULAR,modular,modular,,प्रमापीय
MODULARITY,modularity,modularity,,प्रतिरुपकता
MODULATE,modulate,modulate,,ठीक करना
MODULATION,modulation,modulation,,ठीक करना
MODULE,module,module,,इकाई
MOGGIE,moggie,moggie,,बिल्ली
MOGGY,moggy,moggy,,बिल्ली
MOGHUL,moghul,moghul,,मुगल
MOGUL,mogul,mogul,,बादशाह
MOHAIR,mohair,mohair,,अंगोरा ऊन का
MOHAMMED,mohammed,mohammed,,हजरत मुहम्मद
MOIL,moil,moil,,कड़ी मेहनत करना
MOIRE,moire,moire,,लहरियादार छींट वाला
MOIST,moist,moist,,नम
MOISTEN,moisten,moisten,,गीला करना
MOISTENED,moistened,moistened,,नम
MOISTURE,moisture,moisture,,आर्द्रता
MOISTURISE,moisturise,moisturise,,नम करना
MOISTURISER,moisturiser,moisturisxr,,नमी प्रदायक क्रीम
MOISTURIZE,moisturize,moisturize,,नम करना
MOISTURIZER,moisturizer,moisturizxr,,नमी प्रदायक क्रीम
MOLAR,molar,molar,,दाढ़
MOLASSES,molasses,molasses,,शीरा
MOLD,mold,mold,,का आकार लेना
MOLDED,molded,molded,,गढ़ा
MOLDER,molder,moldxr,,सड़ना
MOLDERING,moldering,moldxring,,सड़ता हुआ
MOLDING,molding,molding,,गढ़ी गई कृति
MOLDY,moldy,moldy,,क्षुद्र
MOLE,mole,mole,,छंछूदर
MOLECULAR,molecular,molekular,,आणविक
MOLECULE,molecule,molekule,,अणु
MOLEHILL,molehill,molehill,,छंछूदर द्वारा ऊपर फेंकी मिट्टी
MOLESKIN,moleskin,moleskin,,नरम सूती कपड़ा
MOLEST,molest,molest,,कष्ट देना
MOLESTATION,molestation,molestation,,कामुकतापूर्ण उत्पीड़न
MOLESTER,molester,molestxr,,कामी उत्पीड़क
MOLESTING,molesting,molesting,,छेडना
MOLL,moll,moll,,गुंडी
MOLLIFY,mollify,mollify,,अनुकूल करना
MOLLUSC,mollusc,mollusk,,घोंघा
MOLLUSK,mollusk,mollusk,,घोंघा
MOLLYCODDLE,mollycoddle,mollykoddle,,अत्यधिक ध्यान देना
MOLT,molt,molt,,निर्मोचन करना
MOLTEN,molten,molten,,पिघला हुआ
MOLUDING,moluding,moluding,,गढ़ी गई कृति
MOM,mom,mom,,माँ
MOMENT,moment,moment,,एक क्षण रुकिए
MOMENTARILY,momentarily,momentarily,,थोड़ि ही देर में
MOMENTARY,momentary,momentary,,क्षणिक
MOMENTOUS,momentous,momentous,,आवश्यक
MOMENTRY,momentry,momentry,,क्षणिक
MOMENTS,moments,moments,,लम्हें
MOMENTUM,momentum,momentum,,गति
MOMMA,momma,momma,,माँ
MOMMY,mommy,mommy,,ममी
MONARCH,monarch,monarc,,मोनार्क
MONARCHAL,monarchal,monarcal,,राजसी
MONARCHIAL,monarchial,monarcial,,राजसी
MONARCHIC,monarchic,monarcik,,राजसी
MONARCHICAL,monarchical,monarcikal,,राजसी
MONARCHISM,monarchism,monarcism,,राजतंत्रवाद
MONARCHIST,monarchist,monarcist,,राजतंत्रवादी
MONARCHY,monarchy,monarcy,,एकतंत्र
MONASTERY,monastery,monastxry,,मठ
MONASTIC,monastic,monastik,,आश्रम संबंधी
MONASTICISM,monasticism,monastisism,,मठवाद
MONATORIUM,monatorium,monatorium,,ऋण स्थगन
MONATORY,monatory,monatory,,विलम्बकारी
MONDAY,monday,monday,,चंद्रवार
MONETARISM,monetarism,monetarism,,अर्थवाद
MONETARIST,monetarist,monetarist,,अर्थवादी
MONETARY,monetary,monetary,,आर्थिक
MONEY,money,money,,जोखिम मज़दूरी
MONEYBAGS,moneybags,moneybags,,अमीर आदमी
MONEYED,moneyed,moneyed,,धनवान
MONEYLENDER,moneylender,moneylendxr,,साहूकार
MONEYMAKING,moneymaking,moneymaking,,लाभकारी
MONGOL,mongol,mongol,,मंगोली
MONGOLIAN,mongolian,mongolian,,मंगोली
MONGOOSE,mongoose,mongoose,,नकुल
MONGREL,mongrel,mongrel,,देसी कुत्ता
MONIED,monied,monied,,धनी
MONISM,monism,monism,,अद्वैतवाद
MONISTIC,monistic,monistik,,अद्वैत
MONISTICAL,monistical,monistikal,,अद्वैत
MONITION,monition,monition,,चेतावनी
MONITOR,monitor,monitor,,अनुविक्षक
MONITORESS,monitoress,monitoress,,कक्षानायिका
MONITORING,monitoring,monitoring,,अनुश्रवण
MONITORY,monitory,monitory,,उपदेशक
MONK,monk,monk,,भिक्षु
MONKEY,monkey,monkey,,इधर उधर करना
MONKISH,monkish,monkish,,भिक्षु जैसा
MONOACIDIC,monoacidic,monoasidik,,एकाम्लक
MONOATOMIC,monoatomic,monoatomik,,एक परमाणुक
MONOCEPHALOUS,monocephalous,monosephalous,,एक मस्तकवाला
MONOCEROS,monoceros,monosxros,,सफ़ेद व्हेल
MONOCHORD,monochord,monocord,,स्वरमापी
MONOCHROMATIC,monochromatic,monocromatik,,एकवर्णी
MONOCHROME,monochrome,monocrome,,एक वर्ण
MONOCLE,monocle,monokle,,उपनेत्र
MONOCLED,monocled,monokled,,एकचश्मी ऐनक्धारी
MONOCRACY,monocracy,monokrasi,,एक तन्त्र
MONOCRATIE,monocratie,monokratie,,एक शासकीय
MONOCULAR,monocular,monokular,,एक नेत्री
MONODRAMA,monodrama,monodrama,,एकल नाटक
MONODY,monody,monody,,एक स्वर गीत
MONOGAMIST,monogamist,monogamist,,एक पलीक
MONOGAMOUS,monogamous,monogamous,,एक विवाही
MONOGAMY,monogamy,monogamy,,एक विवाह प्रथा
MONOGRAMMED,monogrammed,monogrammed,,मोनोग्रमयुक्त
MONOGRAPH,monograph,monograph,,एक विषयक लेखन
MONOIODOTYROSINE,monoiodotyrosine,monoiodotyrosine,,थाइरोइड हॉर्मोन का अग्रदूत
MONOLINGUAL,monolingual,monolingual,,एकभाषी
MONOLITH,monolith,monolith,,एकाश्म
MONOLITHIC,monolithic,monolithik,,विशालकाय
MONOLOG,monolog,monolog,,एकपात्री रूपक
MONOLOGUE,monologue,monologue,,एकपात्री रूपक
MONONUCLEOSIS,mononucleosis,mononukleosis,,मोनो
MONOPHONEMICS,monophonemics,monophonemiks,,रूपस्वनिम विज्ञान
MONOPHOSPHATE,monophosphate,monophosphate,,डीऔक्सीएडिनोसीन मोनोफ़ौस्फ़ेट
MONOPLANE,monoplane,monoplane,,एकतल वायुयान
MONOPOLISATION,monopolisation,monopolisation,,एकाधिपत्य
MONOPOLISE,monopolise,monopolise,,एकाधिकार प्राप्त कर लेना
MONOPOLIST,monopolist,monopolist,,एकाधिकारी
MONOPOLISTIC,monopolistic,monopolistik,,एकाधिकारप्राप्त
MONOPOLIZATION,monopolization,monopolization,,एकाधिपत्य
MONOPOLIZE,monopolize,monopolize,,एकाधिकार प्राप्त कर लेना
MONOPOLY,monopoly,monopoly,,एकाधिकार
MONORAIL,monorail,monorail,,एक पटरी रेल
MONOSYLLABIC,monosyllabic,monosyllabik,,एकाक्षरीय
MONOSYLLABLE,monosyllable,monosyllable,,एकाक्षर
MONOTHEISM,monotheism,monotheism,,एकेश्वरवाद
MONOTHEIST,monotheist,monotheist,,एकेश्वरवादी
MONOTHEISTIC,monotheistic,monotheistik,,एकेश्वरवादी
MONOTONE,monotone,monotone,,एक तान
MONOTONOUS,monotonous,monotonous,,निरश
MONOTONOUSLY,monotonously,monotonously,,नीरस ढंग से
MONOTONY,monotony,monotony,,ऊब
MONOTYPIC,monotypic,monotypik,,एक प्रतिरूपी
MONOVALENT,monowalent,monowalent,,एक संयोजक
MONOXIDE,monoxide,monoxide,,एकल आक्सैड़
MONSIEUR,monsieur,monsieur,,श्रीमान
MONSIGNOR,monsignor,monsignor,,महामान्यवर
MONSOON,monsoon,monsoon,,बरसाती पवन
MONSTER,monster,monstxr,,अति क्रूर व्यक्ति
MONSTROSITY,monstrosity,monstrosity,,अतिविरूपता
MONSTROUS,monstrous,monstrous,,अप्राकृतिक
MONSTROUSLY,monstrously,monstrously,,भद्दे ढंग से
MONSUIR,monsuir,monsuir,,श्रीमान
MONTAGE,montage,montage,,संग्रंथन कार्य
MONTANE,montane,montane,,पर्वतीय
MONTANIC,montanic,montanik,,पर्वत सम्बन्धी
MONTH,month,month,,अधिक प्रचलित
MONTHLY,monthly,monthly,,मसिक
MONUMENT,monument,monument,,स्मारक
MONUMENTAL,monumental,monumental,,महत्वपूर्ण
MONUMENTALISE,monumentalise,monumentalise,,का स्मारक बनाना
MONUMENTALIZE,monumentalize,monumentalize,,का स्मारक बनाना
MONUMENTALLY,monumentally,monumentally,,बहुत अधिक
MOO,moo,moo,,रँभाना
MOOC,mooc,mook,,मुफ्त में उपलब्ध ऑनलाइन पढाई की सामग्री
MOOD,mood,mood,,अवस्था
MOODILY,moodily,moodily,,उदासी
MOON,moon,moon,,अम्भोज
MOONBEAM,moonbeam,moonbeam,,चंद्रकिरण
MOONDROP,moondrop,moondrop,,चन्द्रकान्तमणि
MOONLIGHT,moonlight,moonlait,,चाँदनी
MOONLIT,moonlit,moonlit,,चाँदनी
MOONRISE,moonrise,moonrise,,चन्द्रोदय
MOONSHINE,moonshine,moonshine,,चोरी से बनाइ और बेची जाने वाली मदिरा
MOONSTONE,moonstone,moonstone,,चन्द्रकान्त
MOONSTRUCK,moonstruck,moonstruk,,पागल
MOONY,moony,moony,,स्वप्नवत्
MOOR,moor,moor,,अजोत भूमि
MOORHEN,moorhen,moorhen,,जलमुर्गी
MOORING,mooring,mooring,,बंधन
MOORLAND,moorland,moorland,,ऊसर भूमि
MOOSE,moose,moose,,अमरीकी हिरण
MOOT,moot,moot,,प्रस्तुत करना
MOP,mop,mop,,पुचारा
MOPBOARD,mopboard,mopboard,,लकड़ी की पट्टी
MOPE,mope,mope,,मुँह फुलाए रहना
MOPED,moped,moped,,मोपेड
MORAINE,moraine,moraine,,हिमोढ़अ
MORAL,moral,moral,,आद्रश
MORALE,morale,morale,,चरित्रबल
MORALISE,moralise,moralise,,उपदेश देना
MORALIST,moralist,moralist,,नितिवादि
MORALISTIC,moralistic,moralistik,,नीत्वादी
MORALITICALLY,moralitically,moralitikally,,नीतिवादात्मक रूप से
MORALITY,morality,morality,,नीति
MORALIZE,moralize,moralize,,उपदेश देना
MORALLY,morally,morally,,नैतिक रूप से
MORALS,morals,morals,,आचरणअ
MORASS,morass,morass,,दलदल
MORATORIUM,moratorium,moratorium,,स्थगन
MORBID,morbid,morbid,,रुग्ण
MORBIDITY,morbidity,morbidity,,अस्वास्थ्यकरता
MORBIDLY,morbidly,morbidly,,रुग्ण रूप से
MORBIDNESS,morbidness,morbidness,,अस्वास्थ्यकरता
MORBIFIC,morbific,morbifik,,रोगकारक
MORCEAU,morceau,morseau,,एक छोटी साहित्यिक रचना
MORCEAUX,morceaux,morseaux,,कविता
MORDANT,mordant,mordant,,कटु
MORDANTLY,mordantly,mordantly,,कटुतापूर्वक
MORDENT,mordent,mordent,,स्वर कम्पन
MORE,more,more,,अत्यधिक
MORELLO,morello,morello,,गहरा लाल रंग का चेरी का फल
MOREOVER,moreower,moreowxr,,इसके अलावा
MORES,mores,mores,,रीति रिवाज
MORESQUE,moreskue,moreskue,,मूरों का
MORGANATIC,morganatic,morganatik,,अनुलोम
MORGANATICALLY,morganatically,morganatikally,,अनुलोम विवाह के द्वारा
MORGUE,morgue,morgue,,मुरदाघर
MORIBUND,moribund,moribund,,अन्त के करीब
MORITY,mority,mority,,मृत्यु संख्या
MORLY,morly,morly,,मर्त्यता
MORMALLY,mormally,mormally,,यथाविधि
MORMAN,morman,morman,,मोरमन
MORMONISM,mormonism,mormonism,,मोरमनवाद
MORN,morn,morn,,सुबह
MORNINGS,mornings,mornings,,प्रत्येक सुबह
MOROCCO,morocco,morokko,,चमड़ा
MORON,moron,moron,,बेवकूफ़
MORONIC,moronic,moronik,,क्षीण बुद्धि का
MOROSE,morose,morose,,उदस
MOROSELY,morosely,morosely,,उदासी
MOROSENESS,moroseness,moroseness,,चिडाँपिड़ापन
MORPH,morph,morph,,रूप
MORPHEME,morpheme,morpheme,,रूपग्राम
MORPHEMICS,morphemics,morphemiks,,रूपिम विज्ञान
MORPHEUS,morpheus,morpheus,,यूनान का स्वप्न देवता
MORPHIC,morphic,morphik,,आकार सम्बन्धी
MORPHINE,morphine,morphine,,अहिफेनासव
MORPHOGENESIS,morphogenesis,morphogenesis,,संरचना विकास
MORPHOLOGIC,morphologic,morphologik,,आकृति संबंधी
MORPHOLOGICAL,morphological,morphologikal,,रूप प्रक्रिया संबंधी
MORPHOLOGIST,morphologist,morphologist,,आकृति विज्ञानी
MORPHOLOGY,morphology,morphology,,आकार विज्ञान
MORROW,morrow,morrow,,अगला दिन
MORSAL,morsal,morsal,,कबल
MORSEL,morsel,morsel,,कौर
MORSIN,morsin,morsin,,महापाप
MORTAGE,mortage,mortage,,बन्धक रखना
MORTAGER,mortager,mortagxr,,बन्धकदाता
MORTAL,mortal,mortal,,घातक
MORTALITY,mortality,mortality,,नश्वरता
MORTALLY,mortally,mortally,,घातक रूप से
MORTAR,mortar,mortar,,खरल
MORTGAGE,mortgage,mortgage,,ऋण
MORTGAGEE,mortgagee,mortgagee,,गिरवीदार
MORTGAGOR,mortgagor,mortgagor,,गिरवी रखने वाला
MORTICE,mortice,mortise,,खाँचा
MORTICIAN,mortician,mortisian,,अंत्येष्टि प्रबंधक
MORTIFICATION,mortification,mortifikation,,अवमानना
MORTIFY,mortify,mortify,,अपमानित करना
MORTIS,mortis,mortis,,शवकाठिन्य
MORTISE,mortise,mortise,,खाँचा बनाना
MORTLOCK,mortlock,mortlok,,चूलदार ताला
MORTUARY,mortuary,mortuary,,अंत्येष्टि संबंधी
MOSAIC,mosaic,mosaik,,पच्चीकारी
MOSCOW,moscow,moskow,,मास्को
MOSEY,mosey,mosey,,आराम से चलना
MOSLEM,moslem,moslem,,मुसलमान
MOSQUE,moskue,moskue,,मस्जिद
MOSQUITO,moskuito,moskuito,,मच्छर
MOSS,moss,moss,,काई
MOSSY,mossy,mossy,,काईदार
MOST,most,most,,अधिक से अधिक
MOSTLY,mostly,mostly,,प्रायः
MOSY,mosy,mosy,,चूहे जैसा
MOT,mot,mot,,कहावत
MOTE,mote,mote,,धूल कण
MOTEL,motel,motel,,मोटल
MOTET,motet,motet,,भजन
MOTH,moth,moth,,पतंगा
MOTHBALL,mothball,mothball,,कपड़े के कीड्ॅए की दवा
MOTHBALLS,mothballs,mothballs,,प्रयोगहीन संचयन में
MOTHER,mother,mothxr,,अम्मा
MOTHERFUCKER,motherfucker,mothxrfukxr,,माँ से सम्भोग करने वाला
MOTHERHOOD,motherhood,mothxrhood,,मातृत्व
MOTHERLAND,motherland,mothxrland,,मातृभूमि
MOTHERLESS,motherless,mothxrless,,बिन माँ का
MOTHERLINESS,motherliness,mothxrliness,,मातृ सुलभता
MOTHERLY,motherly,mothxrly,,माँ जैसा
MOTIF,motif,motif,,नमूना
MOTIFF,motiff,motiff,,अनुकल्प
MOTILE,motile,motile,,गतिक्षम
MOTILITY,motility,motility,,गतिशीलता
MOTION,motion,motion,,इशारा
MOTIONLESS,motionless,motionless,,अचल
MOTIONLESSLY,motionlessly,motionlessly,,गतिहीनता से
MOTIVATE,motiwate,motiwate,,उत्प्रेरक
MOTIVATED,motiwated,motiwated,,उत्प्रेरित
MOTIVATION,motiwation,motiwation,,अभिप्रेरण
MOTIVATIONAL,motiwational,motiwational,,प्रेरणादायक
MOTIVATOR,motiwator,motiwator,,प्रेरकअ
MOTIVELESS,motiweless,motiweless,,अकारण
MOTIVITY,motiwity,motiwity,,प्रेरकता
MOTLEY,motley,motley,,बिरंगा
MOTOR,motor,motor,,चालक
MOTORBOAT,motorboat,motorboat,,मोटर नौका
MOTORCADE,motorcade,motorkade,,मोटरों का काफ़िला
MOTORER,motorer,motorxr,,मोटर दौड़ प्रतियोगिता
MOTORING,motoring,motoring,,कार चलाने से संबंधित
MOTORISED,motorised,motorised,,मोटरयुक्त
MOTORIST,motorist,motorist,,कार चालक
MOTORIZE,motorize,motorize,,मोटर सज्जित करना
MOTORIZED,motorized,motorized,,मोटरयुक्त
MOTORTRUCK,motortruck,motortruk,,ट्रक
MOTORWAY,motorway,motorway,,द्रुतमार्ग
MOTTLE,mottle,mottle,,चित्ती
MOTTLED,mottled,mottled,,चित्तीदार
MOTTO,motto,motto,,आदर्श वाक्य
MOUE,moue,moue,,मुंह फुलाने की मुद्रा
MOULD,mould,mould,,का आकार लेना
MOULDERING,mouldering,mouldxring,,सड़ता हुआ
MOULDING,moulding,moulding,,गढ़त
MOULDY,mouldy,mouldy,,क्षुद्र
MOULT,moult,moult,,निर्मोचन करना
MOUND,mound,mound,,टीला
MOUNT,mount,mount,,आयोजित करना
MOUNTAIN,mountain,mountain,,ढेर सारा
MOUNTAINEER,mountaineer,mountainexr,,पर्वतारोही
MOUNTAINEERING,mountaineering,mountainexring,,पर्वतारोहण
MOUNTAINOUS,mountainous,mountainous,,पर्वतीय
MOUNTAINSIDE,mountainside,mountainside,,पहाड़ी ढाल
MOUNTEBANK,mountebank,mountebank,,कपटी विक्रेता
MOUNTED,mounted,mounted,,अश्वारूढ
MOUNTIE,mountie,mountie,,केनडा की घुड़सवार पुलिस
MOUNTING,mounting,mounting,,आरोहण
MOURN,mourn,mourn,,विलाप करना
MOURNER,mourner,mournxr,,शोक मनाने वाला
MOURNFUL,mournful,mournful,,दुःखपूर्ण
MOURNFULLY,mournfully,mournfully,,शोकाकुल ढंग से
MOURNING,mourning,mourning,,मातमी लिबास
MOUSE,mouse,mouse,,खोजते फिरना
MOUSER,mouser,mousxr,,चूहे के पकड़ने वाली बिल्ली
MOUSETRAP,mousetrap,mousetrap,,चूहेदानी
MOUSINESS,mousiness,mousiness,,धूसरता
MOUSSE,mousse,mousse,,मूस
MOUSTACHE,moustache,moustace,,घनी
MOUSTACHED,moustached,moustaced,,मूछों वाला
MOUSY,mousy,mousy,,शर्मीला
MOUTH,mouth,mouth,,ंउख
MOUTHED,mouthed,mouthed,,मुँहवाला
MOUTHFUL,mouthful,mouthful,,कौर
MOUTHPIECE,mouthpiece,mouthpiese,,प्रवक्ता
MOUTHWASH,mouthwash,mouthwash,,मुख धावन
MOVABLE,mowable,mowable,,अस्थावर
MOVE,mowe,mowe,,अग्रसर करना
MOVEABLE,moweable,moweable,,चल संपत्ति
MOVEMENT,mowement,mowement,,आन्दोलन
MOVER,mower,mowxr,,जंघाल
MOVIE,mowie,mowie,,चलचिट्र
MOVIES,mowies,mowies,,चलचित्र
MOVING,mowing,mowing,,गतिमान
MOVINGLY,mowingly,mowingly,,हृदयस्पर्शी ढंग से
MOW,mow,mow,,घास काटना
MOWER,mower,mowxr,,काटनेवाली मशीन
MOWING,mowing,mowing,,कटाई
MP,mp,mp,,एम पी
MP3,mp3,mp3,,ध्वनि संरक्षण इकाई
MPG,mpg,mpg,,मील प्रति गैलन
MPH,mph,mph,,मील प्रति घंटा
MR,mr,mr,,श्री
MR.,mr.,mr.,,श्रीमान
MRIDANGA,mridanga,mridanga,,मिरदंग
MRIDANGAM,mridangam,mridangam,,मृदंगम
MRS,mrs,mrs,,श्रीमती
MRS.,mrs.,mrs.,,श्रीमति
MRW,mrw,mrw,,एम आर डब्ल्यू
MS,ms,ms,,कुमारी
MS.,ms.,ms.,,सुश्री
MSC,msc,msk,,एम एस सी
MT,mt,mt,,पर्वत
MT.,mt.,mt.,,पर्वत
MUADHDHIN,muadhdhin,muadhdhin,,मुअज़्ज़िन
MUAZZIN,muazzin,muazzin,,मुअज़्ज़िन
MUCH,much,muc,,अधिक
MUCILAGINOUS,mucilaginous,musilaginous,,चिपचिपा
MUCK,muck,muk,,गंदगी
MUCKRAKING,muckraking,mukraking,,कीचड़ उछालना
MUCKY,mucky,muky,,अश्लील
MUCOSA,mucosa,mukosa,,श्लेष्मल झिल्ली
MUCOUS,mucous,mukous,,कफ युक्त
MUCUS,mucus,mukus,,आव
MUD,mud,mud,,ईंट
MUDAR,mudar,mudar,,मदार
MUDDINESS,muddiness,muddiness,,अस्पष्टता
MUDDLE,muddle,muddle,,अस्तव्यस्त कर देना
MUDDLED,muddled,muddled,,अव्यवस्थित
MUDDLING,muddling,muddling,,अस्पष्ट
MUDDY,muddy,muddy,,कीचड़दार
MUDGUARD,mudguard,mudguard,,मडगार्ड
MUESLI,muesli,muesli,,म्यूज़ली
MUEZZIN,muezzin,muezzin,,आज्ञा देनेवला
MUFF,muff,muff,,गड़बड़ा देना
MUFFIN,muffin,muffin,,एक तरह का केक
MUFFLE,muffle,muffle,,आवाज़ दबाना
MUFFLED,muffled,muffled,,दबा हुआ
MUFFLER,muffler,mufflxr,,गुलबंद
MUFTHI,mufthi,mufthi,,सधारण कपड़े
MUG,mug,mug,,चेहरा
MUGER,muger,mugxr,,लुठेरा
MUGFUL,mugful,mugful,,प्याला भर
MUGGER,mugger,muggxr,,गुंडा
MUGGINESS,mugginess,mugginess,,उमसपन
MUGGING,mugging,mugging,,लूट मार
MUGGINS,muggins,muggins,,मूर्ख आदमी
MUGGY,muggy,muggy,,उमसदार
MUGING,muging,muging,,लूट
MUHAMMAD,muhammad,muhammad,,हजरत मुहम्मद
MUIR,muir,muir,,बंजर क्षेत्र का
MUJAHEDDIN,muzaheddin,muzaheddin,,मुजाहिद्दीन
MUJAHEDIN,muzahedin,muzahedin,,मुजाहिद्दीन
MUJAHIDEEN,muzahideen,muzahideen,,मुजाहिद्दीन
MUJAHIDIN,muzahidin,muzahidin,,मुजाहिद्दीन
MULATTO,mulatto,mulatto,,मुल्ट्टी
MULBERRY,mulberry,mulbxrry,,तून
MULCH,mulch,mulc,,गासपात आदि से ढकना
MULCT,mulct,mulkt,,धोखा देना
MULE,mule,mule,,अश्वतर
MULES,mules,mules,,एड़ी घिसी चप्पल
MULET,mulet,mulet,,अर्थदण्ड देना
MULIEBRITY,muliebrity,muliebrity,,नारीत्व
MULISH,mulish,mulish,,अड़ियल
MULISHNESS,mulishness,mulishness,,अड़ियलपन
MULL,mull,mull,,मल
MULLAH,mullah,mullah,,मुल्ला
MULLED,mulled,mulled,,चीनी और मसालों के साथ गरम किया गआ
MULLEIN,mullein,mullein,,स्वर्णधान्य
MULLER,muller,mullxr,,बट्टा
