e52	e23	x38	xv38	vinqi	vinqi_fonetik	pnzabi	xp38	guzraji	xg38	bNgali	xb38
lose	lose	luज़	Kona	खोना	लूज़	খোনা	Kona	খোনা	Kona		
loss	loss	loss	vani	हानि	लोस्स	হানি	vani	হানি	vani		
lost	lost	last	gum vo gya	गुम हो गया	लॉस्ट	গুম হো গযা	gum vo gya	গুম হো গযা	gum vo gya		
lot	lot	lot	bvuj	बहुत	लोट	বহুত	bvuj	বহুত	bvuj		
lots	lots	lats	bvuj sare	बहुत सारे	लॉट्स	বহুত সারে	bvuj sare	বহুত সারে	bvuj sare		
loud	loud	laud	unca swr	ऊँचा स्वर	लाउड	ঊঁচা স্঵র	unca swr	ঊঁচা স্঵র	unca swr		
love	lowe	lw	pyar	प्यार	लव	প্যার	pyar	প্যার	pyar		
lovely	lowely	lwli	pyara	प्यारा	लवली	প্যারা	pyara	প্যারা	pyara		
lover	lwxr	lwr	prem krnewala	प्रेम करनेवाला	लवर	প্রেম করনে঵ালা	prem krnewala	প্রেম করনে঵ালা	prem krnewala		
low	low	lou	km	कम	लौ	কম	km	কম	km		
lower	lower	loxr	nicla	निचला	लोअर	নিচলা	nicla	নিচলা	nicla		
luck	luck	lk	Bagy	भाग्य	लक	ভাগ্য	Bagy	ভাগ্য	Bagy		
lucky	lucky	lki	BagySali	भाग्यशाली	लकी	ভাগ্যশালী	BagySali	ভাগ্যশালী	BagySali		
lunch	lunch	lnc	qopvr ka Bozn	दोपहर का भोजन	लंच	দোপহর কা ভোজন	qopvr ka Bozn	দোপহর কা ভোজন	qopvr ka Bozn		
lung	lung	lNg	fefRa	फेफड़ा	लंग	ফেফড়া	fefRa	ফেফড়া	fefRa		
machine	machine	mSin	mSin	मशीन	मशीन	মশীন	mSin	মশীন	mSin		
mad	mad	maQ	pagl	पागल	माध	পাগল	pagl	পাগল	pagl		
magazine	magazine	mxigज़in	pjrika	पत्रिका	मैगज़ीन	পত্রিকা	pjrika	পত্রিকা	pjrika		
mail	mail	mel	mel	मेल	मेल	মেল	mel	মেল	mel		
main	main	mxi	muKy	मुख्य	मैं	মুখ্য	muKy	মুখ্য	muKy		
mainly	mainly	mxinli	me muKy	में मुख्य	मैनली	মেং মুখ্য	me muKy	মেং মুখ্য	me muKy		
maintain	maintain	menten	bnae rKna	बनाए रखना	मेन्टेन	বনাএ রখনা	bnae rKna	বনাএ রখনা	bnae rKna		
maintenance	maintenance	mentenens	Brn posn	भरण पोषण	मेंटेनेंस	ভরণ পোষণ	Brn posn	ভরণ পোষণ	Brn posn		
major	mazor	mezr	mezr	मेजर	मेजर	মেজর	mezr	মেজর	mezr		
majority	mazority	mezoriti	bvulja	बहुलता	मेजोरिटी	বহুলতা	bvulja	বহুলতা	bvulja		
make	make	mek	bnana	बनाना	मेक	বনানা	bnana	বনানা	bnana		
maker	maker	mekr	nirmaja	निर्माता	मेकर	নির্মাতা	nirmaja	নির্মাতা	nirmaja		
makeup	makeup	mekxp	pura krna	पूरा करना	मेकअप	পূরা করনা	pura krna	পূরা করনা	pura krna		
male	male	mel	nr	नर	मेल	নর	nr	নর	nr		
mall	mall	mal	mal	मॉल	मॉल	ম৉ল	mal	ম৉ল	mal		
man	man	mn	xaqmi	आदमी	मन	আদমী	xaqmi	আদমী	xaqmi		
manage	manage	mxinez	prbnQij krna	प्रबंधित करना	मैनेज	প্রবংধিত করনা	prbnQij krna	প্রবংধিত করনা	prbnQij krna		
management	management	mxinezment	prbnQn	प्रबंधन	मैनेजमेंट	প্রবংধন	prbnQn	প্রবংধন	prbnQn		
manager	manager	mxinezr	prbnQk	प्रबंधक	मैनेजर	প্রবংধক	prbnQk	প্রবংধক	prbnQk		
manner	manner	mnner	jour–jrika	तौर–तरीका	मन्नेर	তৌর–তরীকা	jour–jrika	তৌর–তরীকা	jour–jrika		
manufacturer	manufacturer	mxinyufxikcrr	ujpaqk	उत्पादक	मैन्युफैक्चरर	উত্পাদক	ujpaqk	উত্পাদক	ujpaqk		
manufacturing	manufacturing	mxinyufxikcriNg	ujpaqn	उत्पादन	मैन्युफैक्चरिंग	উত্পাদন	ujpaqn	উত্পাদন	ujpaqn		
many	many	many	bvuj sa	बहुत सा	मान्य	বহুত সা	bvuj sa	বহুত সা	bvuj sa		
map	map	mxip	nkSa	नक्शा	मैप	নক্শা	nkSa	নক্শা	nkSa		
margin	margin	marzin	xnjr	अंतर	मार्जिन	অংতর	xnjr	অংতর	xnjr		
mark	mark	mark	niSan	निशान	मार्क	নিশান	niSan	নিশান	niSan		
market	market	markit	mndi	मंडी	मार्किट	মংডী	mndi	মংডী	mndi		
marketing	marketing	marketiNg	wipnn	विपणन	मार्केटिंग	঵িপণন	wipnn	঵িপণন	wipnn		
marriage	marriage	mxiriz	wiwav	विवाह	मैरिज	঵ি঵াহ	wiwav	঵ি঵াহ	wiwav		
married	married	mxirid	wiwavij	विवाहित	मैरिड	঵ি঵াহিত	wiwavij	঵ি঵াহিত	wiwavij		
marry	marry	mrri	Saqi kr	शादी कर	मर्री	শাদী কর	Saqi kr	শাদী কর	Saqi kr		
mask	mask	mask	muKouta	मुखौटा	मास्क	মুখৌটা	muKouta	মুখৌটা	muKouta		
mass	mass	mass	qrwyman	द्रव्यमान	मास्स	দ্র঵্যমান	qrwyman	দ্র঵্যমান	qrwyman		
massive	massiwe	mxisiw	bRa	बड़ा	मैसिव	বড়া	bRa	বড়া	bRa		
master	master	mastr	malik	मालिक	मास्टर	মালিক	malik	মালিক	malik		
match	match	mxic	milan	मिलान	मैच	মিলান	milan	মিলান	milan		
material	material	mteriyl	samgri	सामग्री	मटेरियल	সামগ্রী	samgri	সামগ্রী	samgri		
math	math	mxiJ	gnij	गणित	मैथ	গণিত	gnij	গণিত	gnij		
matter	matter	mtr	mamla	मामला	मटर	মামলা	mamla	মামলা	mamla		
may	may	myi	myi	मई	मई	মঈ	myi	মঈ	myi		
maybe	maybe	mybe	Sayq	शायद	मय्बे	শাযদ	Sayq	শাযদ	Sayq		
mayor	mayor	meyr	mvapour	महापौर	मेयर	মহাপৌর	mvapour	মহাপৌর	mvapour		
me	me	me	muZe	मुझे	में	মুঝে	muZe	মুঝে	muZe		
meal	meal	mil	Bozn	भोजन	मील	ভোজন	Bozn	ভোজন	Bozn		
mean	mean	mxi	xrJ	अर्थ	मैं	অর্থ	xrJ	অর্থ	xrJ		
meaning	meaning	miniNg	xrJ	अर्थ	मीनिंग	অর্থ	xrJ	অর্থ	xrJ		
meanwhile	meanwhile	mxinwvile	is qouran	इस दौरान	मैंवहीले	ইস দৌরান	is qouran	ইস দৌরান	is qouran		
measure	measure	mxisur	mapna	मापना	मैसूर	মাপনা	mapna	মাপনা	mapna		
measurement	measurement	meज़rment	map	माप	मेज़रमेंट	মাপ	map	মাপ	map		
meat	meat	mit	mans	मांस	मीट	মাংস	mans	মাংস	mans		
mechanism	mechanism	mxikenizm	jnjr	तंत्र	मैकेनिज्म	তংত্র	jnjr	তংত্র	jnjr		
media	media	midiya	midiya	मीडिया	मीडिया	মীডিযা	midiya	মীডিযা	midiya		
medical	medical	medikl	cikijsa	चिकित्सा	मेडिकल	চিকিত্সা	cikijsa	চিকিত্সা	cikijsa		
medication	medication	medikeSn	qwai	दवाई	मेडिकेशन	দ঵াঈ	qwai	দ঵াঈ	qwai		
medicine	medicine	medisin	qwa	दवा	मेडिसिन	দ঵া	qwa	দ঵া	qwa		
medium	medium	mQym	mQym	मध्यम	मध्यम	মধ্যম	mQym	মধ্যম	mQym		
meet	meet	mit	milna	मिलना	मीट	মিলনা	milna	মিলনা	milna		
meeting	meeting	mitiNg	bxiTk	बैठक	मीटिंग	বৈঠক	bxiTk	বৈঠক	bxiTk		
member	member	membr	sqsy	सदस्य	मेंबर	সদস্য	sqsy	সদস্য	sqsy		
membership	membership	membrSip	sqsyja	सदस्यता	मेम्बरशिप	সদস্যতা	sqsyja	সদস্যতা	sqsyja		
memory	memory	memori	smrji	स्मृति	मेमोरी	স্মৃতি	smrji	স্মৃতি	smrji		
mental	mental	mentl	mansik	मानसिक	मेन्टल	মানসিক	mansik	মানসিক	mansik		
mention	mention	menSn	ulleK	उल्लेख	मेंशन	উল্লেখ	ulleK	উল্লেখ	ulleK		
menu	menu	menu	menyu	मेन्यू	मेनू	মেন্যূ	menyu	মেন্যূ	menyu		
mere	mere	mere	majr	मात्र	मेरे	মাত্র	majr	মাত্র	majr		
merely	merely	merely	sirf	सिर्फ़	मेरेल्य	সির্ফ়	sirf	সির্ফ়	sirf		
mess	mess	mes	gRbR	गड़बड़	मेस	গড়বড়	gRbR	গড়বড়	gRbR		
message	message	mxisez	snqeS	संदेश	मैसेज	সংদেশ	snqeS	সংদেশ	snqeS		
metal	metal	metl	Qaju	धातु	मेटल	ধাতু	Qaju	ধাতু	Qaju		
meter	meter	mitr	mitr	मीटर	मीटर	মীটর	mitr	মীটর	mitr		
method	method	meJd	jrika	तरीका	मेथड	তরীকা	jrika	তরীকা	jrika		
mexican	mexican	meksikn	mxiksikn	मैक्सिकन	मेक्सिकन	মৈক্সিকন	mxiksikn	মৈক্সিকন	mxiksikn		
middle	middle	midil	mQym	मध्यम	मिडिल	মধ্যম	mQym	মধ্যম	mQym		
might	might	migvj	jakj	ताकत	मिगहत	তাকত	jakj	তাকত	jakj		
military	military	militri	sxiny	सैन्य	मिलिट्री	সৈন্য	sxiny	সৈন্য	sxiny		
milk	milk	milk	quQ	दूध	मिल्क	দূধ	quQ	দূধ	quQ		
million	million	miliyn	qs laK	दस लाख	मिलियन	দস লাখ	qs laK	দস লাখ	qs laK		
mind	mind	mnq	mn	मन	मंद	মন	mn	মন	mn		
mine	mine	main	mera	मेरा	माइन	মেরা	mera	মেরা	mera		
minister	minister	ministr	mnjri	मंत्री	मिनिस्टर	মংত্রী	mnjri	মংত্রী	mnjri		
minor	minor	mainr	nabalig	नाबालिग	माइनर	নাবালিগ	nabalig	নাবালিগ	nabalig		
minority	minority	mainariti	xlpsNKyk	अल्पसंख्यक	माइनॉरिटी	অল্পসংখ্যক	xlpsNKyk	অল্পসংখ্যক	xlpsNKyk		
minute	minute	mint	mint	मिनट	मिनट	মিনট	mint	মিনট	mint		
miracle	miracle	mirekl	cmjkar	चमत्कार	मिरेकल	চমত্কার	cmjkar	চমত্কার	cmjkar		
mirror	mirror	mirr	qrpn	दर्पण	मिरर	দর্পণ	qrpn	দর্পণ	qrpn		
miss	miss	mis	kumari	कुमारी	मिस	কুমারী	kumari	কুমারী	kumari		
missile	missile	misail	misail	मिसाइल	मिसाइल	মিসাইল	misail	মিসাইল	misail		
mission	mission	miSn	miSn	मिशन	मिशन	মিশন	miSn	মিশন	miSn		
mistake	mistake	mistek	glji	गलती	मिस्टेक	গলতী	glji	গলতী	glji		
mix	mix	miks	miks	मिक्स	मिक्स	মিক্স	miks	মিক্স	miks		
mixture	mixture	mikscr	miSrn	मिश्रण	मिक्सचर	মিশ্রণ	miSrn	মিশ্রণ	miSrn		
mm-hmm	mm-hmm	mm-vmm	mimi–vmm	मिमी–हम्म	मम-हम्म	মিমী–হম্ম	mimi–vmm	মিমী–হম্ম	mimi–vmm		
mode	mode	mod	jrika	तरीका	मोड	তরীকা	jrika	তরীকা	jrika		
model	model	madl	nmuna	नमूना	मॉडल	নমূনা	nmuna	নমূনা	nmuna		
moderate	moderate	madret	snjulij	संतुलित	मॉडरेट	সংতুলিত	snjulij	সংতুলিত	snjulij		
modern	modern	madrn	xaQunik	आधुनिक	मॉडर्न	আধুনিক	xaQunik	আধুনিক	xaQunik		
modest	modest	madest	mamuli	मामूली	मॉडेस्ट	মামূলী	mamuli	মামূলী	mamuli		
mom	mom	ma	ma	मां	माँ	মাং	ma	মাং	ma		
moment	moment	moment	pl	पल	मोमेंट	পল	pl	পল	pl		
money	money	mni	pxise	पैसे	मनी	পৈসে	pxise	পৈসে	pxise		
monitor	monitor	manitr	nigrani krna	निगरानी करना	मॉनिटर	নিগরানী করনা	nigrani krna	নিগরানী করনা	nigrani krna		
month	month	mnJ	mvina	महीना	मंथ	মহীনা	mvina	মহীনা	mvina		
mood	mood	mud	mnoqSa	मनोदशा	मूड	মনোদশা	mnoqSa	মনোদশা	mnoqSa		
moon	moon	mun	canq	चांद	मून	চাংদ	canq	চাংদ	canq		
moral	moral	morl	nxijik	नैतिक	मोरल	নৈতিক	nxijik	নৈতিক	nxijik		
more	more	more	xQik	अधिक	मोरे	অধিক	xQik	অধিক	xQik		
moreover	moreower	morewr	iske xjirikj	इसके अतिरिक्त	मोरेवर	ইসকে অতিরিক্ত	iske xjirikj	ইসকে অতিরিক্ত	iske xjirikj		
morning	morning	marniNg	prBaj	प्रभात	मॉर्निंग	প্রভাত	prBaj	প্রভাত	prBaj		
mortgage	mortgage	margez	girwi rKna	गिरवी रखना	मॉर्गेज	গির঵ী রখনা	girwi rKna	গির঵ী রখনা	girwi rKna		
most	most	most	xQikanS	अधिकांश	मोस्ट	অধিকাংশ	xQikanS	অধিকাংশ	xQikanS		
mostly	mostly	mostli	xQikjr	अधिकतर	मोस्टली	অধিকতর	xQikjr	অধিকতর	xQikjr		
mother	mother	mqr	ma	मां	मदर	মাং	ma	মাং	ma		
motion	motion	moSn	gji	गति	मोशन	গতি	gji	গতি	gji		
motivation	motiwation	motiweSn	prerna	प्रेरणा	मोटिवेशन	প্রেরণা	prerna	প্রেরণা	prerna		
motor	motor	motr	motr	मोटर	मोटर	মোটর	motr	মোটর	motr		
mount	mount	maunt	prwj	पर्वत	माउंट	পর্঵ত	prwj	পর্঵ত	prwj		
mountain	mountain	maunten	pvaR	पहाड़	माउंटेन	পহাড়	pvaR	পহাড়	pvaR		
mouse	mouse	maus	cuva	चूहा	माउस	চূহা	cuva	চূহা	cuva		
mouth	mouth	mauJ	munv	मुँह	माउथ	মুঁহ	munv	মুঁহ	munv		
move	mowe	muw	kqm	कदम	मूव	কদম	kqm	কদম	kqm		
movement	mowement	muwment	gji	गति	मूवमेंट	গতি	gji	গতি	gji		
movie	mowie	muwi	clcijr	चलचित्र	मूवी	চলচিত্র	clcijr	চলচিত্র	clcijr		
mr	mr	mr	Sri	श्री	मर	শ্রী	Sri	শ্রী	Sri		
mrs	mrs	mrs	Srimji	श्रीमती	मरस	শ্রীমতী	Srimji	শ্রীমতী	Srimji		
ms	ms	ms	emyes	एमएस	मस	এমএস	emyes	এমএস	emyes		
much	much	mc	xQikja	अधिकता	मच	অধিকতা	xQikja	অধিকতা	xQikja		
multiple	multiple	mltipl	wiBinn	विभिन्न	मल्टीप्ल	঵িভিন্ন	wiBinn	঵িভিন্ন	wiBinn		
murder	murder	mrdr	vjya	हत्या	मर्डर	হত্যা	vjya	হত্যা	vjya		
muscle	muscle	muskle	manspeSi	मांसपेशी	मुस्कले	মাংসপেশী	manspeSi	মাংসপেশী	manspeSi		
museum	museum	myuziym	sNgrvaly	संग्रहालय	म्यूजियम	সংগ্রহালয	sNgrvaly	সংগ্রহালয	sNgrvaly		
music	music	myuzik	sNgij	संगीत	म्यूजिक	সংগীত	sNgij	সংগীত	sNgij		
musical	musical	myuzikl	sNgij	संगीत	म्यूजिकल	সংগীত	sNgij	সংগীত	sNgij		
musician	musician	myuziSiyn	sNgijkar	संगीतकार	म्यूजिशियन	সংগীতকার	sNgijkar	সংগীতকার	sNgijkar		
muslim	muslim	muslim	muslman	मुसलमान	मुस्लिम	মুসলমান	muslman	মুসলমান	muslman		
must	must	mst	zruri	ज़रूरी	मस्ट	জ়রূরী	zruri	জ়রূরী	zruri		
mutual	mutual	myucyuxl	prspr	परस्पर	म्यूच्यूअल	পরস্পর	prspr	পরস্পর	prspr		
my	my	may	mere	मेरे	माय	মেরে	mere	মেরে	mere		
myself	myself	maiself	Kuq	खुद	माइसेल्फ	খুদ	Kuq	খুদ	Kuq		
mystery	mystery	mistri	rvsy	रहस्य	मिस्ट्री	রহস্য	rvsy	রহস্য	rvsy		
myth	myth	miJ	klpij kJa	कल्पित कथा	मिथ	কল্পিত কথা	klpij kJa	কল্পিত কথা	klpij kJa		
naked	naked	neked	nNga	नंगा	नेकेड	নংগা	nNga	নংগা	nNga		
name	name	nam	nam	नाम	नाम	নাম	nam	নাম	nam		
narrative	narratiwe	nxiretiw	kJa	कथा	नैरेटिव	কথা	kJa	কথা	kJa		
narrow	narrow	nxiro	sNkirn	संकीर्ण	नैरो	সংকীর্ণ	sNkirn	সংকীর্ণ	sNkirn		
nation	nation	neSn	rastr	राष्ट्र	नेशन	রাষ্ট্র	rastr	রাষ্ট্র	rastr		
national	national	neSnl	rastriy	राष्ट्रीय	नेशनल	রাষ্ট্রীয	rastriy	রাষ্ট্রীয	rastriy		
native	natiwe	netiw	qeSi	देशी	नेटिव	দেশী	qeSi	দেশী	qeSi		
natural	natural	necurl	prakrjik	प्राकृतिक	नेचुरल	প্রাকৃতিক	prakrjik	প্রাকৃতিক	prakrjik		
naturally	naturally	nxicurli	svz rup me	सहज रूप में	नैचुरली	সহজ রূপ মেং	svz rup me	সহজ রূপ মেং	svz rup me		
nature	nature	necr	prkrji	प्रकृति	नेचर	প্রকৃতি	prkrji	প্রকৃতি	prkrji		
near	near	niyr	pas	पास	नियर	পাস	pas	পাস	pas		
nearby	nearby	nexrbi	xas–pas	आस–पास	नेअर्बी	আস–পাস	xas–pas	আস–পাস	xas–pas		
nearly	nearly	nexrly	lgBg	लगभग	नेअर्ल्य	লগভগ	lgBg	লগভগ	lgBg		
necessarily	necessarily	nesessrily	xawSyk rup se	आवश्यक रूप से	नेसेस्सरिलय	আ঵শ্যক রূপ সে	xawSyk rup se	আ঵শ্যক রূপ সে	xawSyk rup se		
necessary	necessary	nesesri	zruri	ज़रूरी	नेसेसरी	জ়রূরী	zruri	জ়রূরী	zruri		
neck	neck	nxik	grqn	गरदन	नैक	গরদন	grqn	গরদন	grqn		
need	need	nid	zrurj	जरुरत	नीड	জরুরত	zrurj	জরুরত	zrurj		
negative	negatiwe	negetiw	nkarajmk	नकारात्मक	नेगेटिव	নকারাত্মক	nkarajmk	নকারাত্মক	nkarajmk		
negotiate	negotiate	nigoSiet	mol–Baw krna	मोल–भाव करना	निगोशिएट	মোল–ভা঵ করনা	mol–Baw krna	মোল–ভা঵ করনা	mol–Baw krna		
negotiation	negotiation	negotieSn	bajcij	बातचीत	नेगोटिएशन	বাতচীত	bajcij	বাতচীত	bajcij		
neighbor	neighbor	nebr	pRosi	पड़ोसी	नेबर	পড়োসী	pRosi	পড়োসী	pRosi		
neighborhood	neighborhood	nebrvud	xRos–pRos	अड़ोस–पड़ोस	नेबरहुड	অড়োস–পড়োস	xRos–pRos	অড়োস–পড়োস	xRos–pRos		
neither	neither	niJr	n	न	निथर	ন	n	ন	n		
nerve	nerwe	nrw	ns	नस	नर्व	নস	ns	নস	ns		
nervous	nerwous	nrws	be cxi n	बे चै न	नर्वस	বে চৈ ন	be cxi n	বে চৈ ন	be cxi n		
net	net	net	zal	जाल	नेट	জাল	zal	জাল	zal		
network	network	netwrk	netwrk	नेटवर्क	नेटवर्क	নেট঵র্ক	netwrk	নেট঵র্ক	netwrk		
never	nxwxr	newr	kBi nvi	कभी नहीँ	नेवर	কভী নহীঁ	kBi nvi	কভী নহীঁ	kBi nvi		
nevertheless	nxwxrtheless	newrJeles	fir Bi	फिर भी	नेवरथेलेस	ফির ভী	fir Bi	ফির ভী	fir Bi		
new	new	nyi	nya	नया	नई	নযা	nya	নযা	nya		
newly	newly	newli	nye nye	नए नए	नेवली	নএ নএ	nye nye	নএ নএ	nye nye		
news	news	nyuज़	smacar	समाचार	न्यूज़	সমাচার	smacar	সমাচার	smacar		
newspaper	newspaper	newspper	xKbar	अखबार	नेवसपपेर	অখবার	xKbar	অখবার	xKbar		
next	next	nekst	xgla	अगला	नेक्स्ट	অগলা	xgla	অগলা	xgla		
nice	nice	nis	xcCa	अच्छा	नीस	অচ্ছা	xcCa	অচ্ছা	xcCa		
night	night	nait	raj	रात	नाईट	রাত	raj	রাত	raj		
nine	nine	nain	nou	नौ	नाइन	নৌ	nou	নৌ	nou		
no	no	no	nvi	नहीं	नो	নহীং	nvi	নহীং	nvi		
nobody	nobody	nobdi	koi nvi	कोई नहीं	नोबडी	কোঈ নহীং	koi nvi	কোঈ নহীং	koi nvi		
nod	nod	noq	sir vilakr svmji qena	सिर हिलाकर सहमति देना	नोद	সির হিলাকর সহমতি দেনা	sir vilakr svmji qena	সির হিলাকর সহমতি দেনা	sir vilakr svmji qena		
noise	noise	naiज़	Sor	शोर	नॉइज़	শোর	Sor	শোর	Sor		
nomination	nomination	namineSn	namaNkn	नामांकन	नॉमिनेशन	নামাংকন	namaNkn	নামাংকন	namaNkn		
none	none	none	koi Bi nvi	कोई भी नहीं	नोने	কোঈ ভী নহীং	koi Bi nvi	কোঈ ভী নহীং	koi Bi nvi		
nonetheless	nonetheless	noneJles	bvrval	बहरहाल	नोनेथलेस	বহরহাল	bvrval	বহরহাল	bvrval		
nor	nor	nar	n	न	नार	ন	n	ন	n		
normal	normal	narml	samany	सामान्य	नार्मल	সামান্য	samany	সামান্য	samany		
normally	normally	normlli	samany rup se	सामान्य रूप से	नोर्मल्ली	সামান্য রূপ সে	samany rup se	সামান্য রূপ সে	samany rup se		
north	north	narJ	ujjr	उत्तर	नार्थ	উত্তর	ujjr	উত্তর	ujjr		
northern	northern	narJern	ujjri	उत्तरी	नॉर्थेर्न	উত্তরী	ujjri	উত্তরী	ujjri		
nose	nose	noz	nak	नाक	नोज	নাক	nak	নাক	nak		
not	not	nat	nvi	नहीं	नॉट	নহীং	nvi	নহীং	nvi		
note	note	not	tippni	टिप्पणी	नोट	টিপ্পণী	tippni	টিপ্পণী	tippni		
nothing	nothing	nJiNg	kuC nvi	कुछ नहीं	नथिंग	কুছ নহীং	kuC nvi	কুছ নহীং	kuC nvi		
notice	notice	notis	sucna	सूचना	नोटिस	সূচনা	sucna	সূচনা	sucna		
notion	notion	noSn	Qarna	धारणा	नोशन	ধারণা	Qarna	ধারণা	Qarna		
novel	nowel	nawel	upnyas	उपन्यास	नावेल	উপন্যাস	upnyas	উপন্যাস	upnyas		
now	now	nau	xBi w	अभी व	नाउ	অভী ঵	xBi w	অভী ঵	xBi w		
nowhere	nowhere	noweyr	kvi Bi nvi	कहीं भी नहीं	नोवेयर	কহীং ভী নহীং	kvi Bi nvi	কহীং ভী নহীং	kvi Bi nvi		
n’t	n’t	n’ti	nvi	नहीं	न’टी	নহীং	nvi	নহীং	nvi		
nuclear	nuclear	nuklexr	naBikiy	नाभिकीय	नुक्लेअर	নাভিকীয	naBikiy	নাভিকীয	naBikiy		
number	number	nmbr	sNKya	संख्या	नंबर	সংখ্যা	sNKya	সংখ্যা	sNKya		
numerous	numerous	numerous	bvuj	बहुत	नुमेरौस	বহুত	bvuj	বহুত	bvuj		
nurse	nurse	nrs	qeKBal krna	देखभाल करना	नर्स	দেখভাল করনা	qeKBal krna	দেখভাল করনা	qeKBal krna		
nut	nut	nuj	kRe Cilke wala fl	कड़े छिलके वाला फल	नुत	কড়ে ছিলকে ঵ালা ফল	kRe Cilke wala fl	কড়ে ছিলকে ঵ালা ফল	kRe Cilke wala fl		
object	obzect	aobzekt	wsju	वस्तु	ऑब्जेक्ट	঵স্তু	wsju	঵স্তু	wsju		
objective	obzectiwe	aobzektiw	uqqeSy	उद्देश्य	ऑब्जेक्टिव	উদ্দেশ্য	uqqeSy	উদ্দেশ্য	uqqeSy		
obligation	obligation	aobligeSn	baQyja	बाध्यता	ऑब्लिगेशन	বাধ্যতা	baQyja	বাধ্যতা	baQyja		
observation	obserwation	aobzrweSn	xwlokn	अवलोकन	ऑब्जरवेशन	অ঵লোকন	xwlokn	অ঵লোকন	xwlokn		
observe	obserwe	aobserwe	niriSn krna	निरीक्षण करना	ऑब्सेर्वे	নিরীক্ষণ করনা	niriSn krna	নিরীক্ষণ করনা	niriSn krna		
observer	obserwer	xabzrwr	qeKne wala	देखने वाला	आब्जर्वर	দেখনে ঵ালা	qeKne wala	দেখনে ঵ালা	qeKne wala		
obtain	obtain	obje	prapj	प्राप्त	ओब्तें	প্রাপ্ত	prapj	প্রাপ্ত	prapj		
obvious	obwious	aobwiys	zavir	ज़ाहिर	ऑब्वियस	জ়াহির	zavir	জ়াহির	zavir		
obviously	obwiously	aobwiysli	spstj	स्पष्टतः	ऑब्वियस्ली	স্পষ্টতঃ	spstj	স্পষ্টতঃ	spstj		
occasion	occasion	oksasio	xwsr	अवसर	ोक्सासिओं	অ঵সর	xwsr	অ঵সর	xwsr		
occasionally	occasionally	oksasionlly	kBi–kBi	कभी–कभी	ोक्सासिओनल्ल्य	কভী–কভী	kBi–kBi	কভী–কভী	kBi–kBi		
occupation	occupation	aokyupeSn	wywsay	व्यवसाय	ऑक्यूपेशन	঵্য঵সায	wywsay	঵্য঵সায	wywsay		
occupy	occupy	okupy	pr kbza	पर कब्जा	ोकुप्य	পর কব্জা	pr kbza	পর কব্জা	pr kbza		
occur	occur	akr	Gtij vona	घटित होना	ॉकर	ঘটিত হোনা	Gtij vona	ঘটিত হোনা	Gtij vona		
ocean	ocean	osiyn	sagr	सागर	ओसियन	সাগর	sagr	সাগর	sagr		
odd	odd	od	xzib	अजीब	ओड	অজীব	xzib	অজীব	xzib		
odds	odds	aods	kTinaiya	कठिनाइयाँ	ऑड्स	কঠিনাইযাঁ	kTinaiya	কঠিনাইযাঁ	kTinaiya		
of	of	aoफ़	ka	का	ऑफ़	কা	ka	কা	ka		
off	off	aof	bnq	बंद	ऑफ	বংদ	bnq	বংদ	bnq		
offense	offense	aofens	xpraQ	अपराध	ऑफेंस	অপরাধ	xpraQ	অপরাধ	xpraQ		
offensive	offensiwe	offensiwe	xakramk	आक्रामक	ओफ्फेंसीवे	আক্রামক	xakramk	আক্রামক	xakramk		
offer	offer	aofr	prsjaw	प्रस्ताव	ऑफर	প্রস্তা঵	prsjaw	প্রস্তা঵	prsjaw		
office	office	aofis	karyaly	कार्यालय	ऑफिस	কার্যালয	karyaly	কার্যালয	karyaly		
officer	officer	xfsr	xfsr	अफ़सर	अफसर	অফ়সর	xfsr	অফ়সর	xfsr		
official	official	aofisiyl	xQikari	अधिकारी	ऑफिसियल	অধিকারী	xQikari	অধিকারী	xQikari		
often	often	ofje	xksr	अक्सर	ओफ्तें	অক্সর	xksr	অক্সর	xksr		
oh	oh	ov	ov	ओह	ओह	ওহ	ov	ওহ	ov		
oil	oil	xayl	jel	तेल	आयल	তেল	jel	তেল	jel		
ok	ok	oke	Tik vxi	ठीक है	ओके	ঠীক হৈ	Tik vxi	ঠীক হৈ	Tik vxi		
okay	okay	oky	Tik vxi	ठीक है	ोकय	ঠীক হৈ	Tik vxi	ঠীক হৈ	Tik vxi		
old	old	old	purana	पुराना	ओल्ड	পুরানা	purana	পুরানা	purana		
olympic	olympic	olimpik	olimpik	ओलिंपिक	ओलिंपिक	ওলিংপিক	olimpik	ওলিংপিক	olimpik		
on	on	o	pr	पर	ों	পর	pr	পর	pr		
once	once	wns	ek bar	एक बार	वन्स	এক বার	ek bar	এক বার	ek bar		
one	one	one	ek	एक	ओने	এক	ek	এক	ek		
ongoing	ongoing	aongoiNg	cl rve	चल रहे	ऑनगोइंग	চল রহে	cl rve	চল রহে	cl rve		
onion	onion	xniyn	pyaz	प्याज़	अनियन	প্যাজ়	pyaz	প্যাজ়	pyaz		
online	online	aonlain	aonlain	ऑनलाइन	ऑनलाइन	঑নলাইন	aonlain	঑নলাইন	aonlain		
only	only	onli	kewl	केवल	ओनली	কে঵ল	kewl	কে঵ল	kewl		
onto	onto	onTo	pr	पर	ओंठो	পর	pr	পর	pr		
open	open	opn	Kolna	खोलना	ओपन	খোলনা	Kolna	খোলনা	Kolna		
